epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,valid_loss,learning_rate
1,0.0272258169644521,0.6925047966714271,202,32,0,0.0261969121594162,0.0009619397662556
2,0.0229141431821634,0.8171972839141924,202,32,0,0.022405303694115,0.0008535533905932
3,0.0206860532822315,0.86231245412532,202,32,0,0.0207397188903309,0.0006913417161825
4,0.0187613379999923,0.857691635209735,202,32,0,0.0293433831625432,0.0005
5,0.0174055283525152,0.8957576804836828,202,32,0,0.018156445313861,0.0003086582838174
6,0.0159347840821074,0.9093025611219516,202,32,0,0.0160847462753527,0.0001464466094067
7,0.014865123590288938,0.9094622507834104,202,32,0,0.016415537659736735,3.8060233744356646e-05
8,0.014129879068439615,0.9135256778226852,202,32,0,0.01602554881234975,0.0
