epoch,train_loss,train_supervised_loss,train_distill_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,distill_weight,mean_train_teacher_confidence
1,0.5498059093952179,0.10635976493358612,1.2669890017220469,0.8718390170886208,42,192,0,0.8718390170886208,42,192,0,0.39772501587867737,0.00010631971954266869,0.8718390170886208,0.35,0.9730278849601746
2,0.3340357623317025,0.1084528545087034,0.6445226001017021,0.9244014590100614,42,192,0,0.9244014590100614,42,192,0,0.33138489226500195,0.00019998753863971366,0.9244014590100614,0.35,0.9730278849601746
3,0.3062059427752639,0.0921361328977527,0.6116280338980935,0.9498638109979032,42,192,0,0.9498638109979032,42,192,0,0.32465064773956936,0.00018594035791026273,0.9498638109979032,0.35,0.9730278849601746
4,0.297606910720016,0.08620654407775763,0.6040010524518562,0.9510922753817328,42,192,0,0.9510922753817328,42,192,0,0.32262912144263584,0.00014913347687394642,0.9510922753817328,0.35,0.9730278849601746
5,0.2924666774995399,0.0832426751201803,0.5977828719399192,0.9524566899521364,42,192,0,0.9524566899521364,42,192,0,0.3219229926665624,9.942926958035401e-05,0.9524566899521364,0.35,0.9730278849601746
6,0.2888523240884145,0.08026856974218831,0.595953592748353,0.9561229732329963,42,192,0,0.9561229732329963,42,192,0,0.3217959776520729,5.01459382342328e-05,0.9561229732329963,0.35,0.9730278849601746
7,0.2877998604918971,0.08126273683526299,0.5901060754602606,0.9554695805017395,42,192,0,0.9554695805017395,42,192,0,0.32124260316292447,1.4488911670091291e-05,0.9554695805017395,0.35,0.9730278849601746
8,0.28748461513808277,0.07932918360739043,0.5947298154686437,0.9545242800798013,42,192,0,0.9545242800798013,42,192,0,0.3213657811284065,2.012461360286368e-06,0.9545242800798013,0.35,0.9730278849601746
