strategy,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,brier,log_loss,ece
raw,0.7933963540973474,54,180,0,0.009112088941037655,0.051478076726198196,0.007075753758523384
best_fixed::raw,0.7933963540973474,54,180,0,0.009112088941037655,0.051478076726198196,0.007075753758523384
fold_safe_selected,0.785292509480159,54,180,0,0.009044108912348747,0.04968276619911194,0.006583856123137581
fold_safe_temperature_scaled_raw,0.7674671922948699,54,180,0,0.00903234351426363,0.039201099425554276,0.0036940367025474563
