variant,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,brier,log_loss,ece
raw,0.7933963540973474,54,180,0,0.009112088941037655,0.051478076726198196,0.007075753758523384
event_smooth_texture_filemax_strong,0.7901811144872228,54,180,0,0.008784725330770016,0.044531118124723434,0.005581210303507924
event_smooth_texture_filemax,0.788896139969121,54,180,0,0.008855797350406647,0.0452503003180027,0.0060954161544981905
filemax_all_035,0.7856345737232479,54,180,0,0.008818701840937138,0.044700995087623596,0.00594395993864814
filemax_all_020,0.7845698306496479,54,180,0,0.008932528086006641,0.045761387795209885,0.006415428977282264
smooth_all_020,0.7786905276458919,54,180,0,0.009088150225579739,0.047153349965810776,0.007096584105959696
weak_priors,0.7672541894059319,54,180,0,0.009206685237586498,0.05106382444500923,0.0077549862860050054
old_priors,0.7576087423092588,54,180,0,0.010151933878660202,0.06500034779310226,0.008819261422615065
