epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.06309224434654324,0.6447878570573765,220,14,0,0.40126687273930833,42,192,0,0.029453975893065608,0.00014006457295723978,0.40126687273930833
2,0.024671143670715524,0.8911151920889729,220,14,0,0.6860027058186164,42,192,0,0.019830010975109006,0.00038012911116725617,0.6860027058186164
3,0.01886860982703834,0.9287208488873496,220,14,0,0.7685173107094165,42,192,0,0.017401007762778364,0.0004999999880648658,0.7685173107094165
4,0.021809234673296537,0.936911231988896,220,14,0,0.836142488720514,42,192,0,0.015497667699595201,0.0004850476238004266,0.836142488720514
5,0.020628756294159542,0.937151585819287,220,14,0,0.8395596099387284,42,192,0,0.014779830561572376,0.00044204658406825093,0.8395596099387284
6,0.01966635646460929,0.9481574643574305,220,14,0,0.8263019429569897,42,192,0,0.013739671944861736,0.00037618342888779587,0.8263019429569897
7,0.018790636110547067,0.953067739479071,220,14,0,0.8369756179979989,42,192,0,0.01300483786606655,0.00029540222681047,0.8369756179979989
8,0.01792171163305481,0.9555301904715239,220,14,0,0.8508523324216597,42,192,0,0.012339017660194875,0.00020944638301036806,0.8508523324216597
9,0.01714767523365115,0.9579796616291122,220,14,0,0.8276679606445443,42,192,0,0.011755284805361938,0.00012868344082293015,0.8276679606445443
10,0.01651767578582508,0.9570121906300215,220,14,0,0.8322640541755535,42,192,0,0.0115414717800468,6.285460301004334e-05,0.8322640541755535
11,0.015949720363513803,0.9580689980366371,220,14,0,0.835336463185792,42,192,0,0.011370175915259111,1.9899798942117085e-05,0.835336463185792
12,0.015735372441101594,0.9585121060756481,220,14,0,0.8353805693941789,42,192,0,0.011337485797776986,5.000011935134229e-06,0.8353805693941789
