variant,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative
raw,0.8494899255856971,29,205,0
event_texture_priors,0.8111846560826422,29,205,0
event_texture_priors_smooth,0.8107914108401345,29,205,0
texture_priors_only,0.8075153952625702,29,205,0
event_priors_only,0.7963902560308607,29,205,0
