epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,coverage_mean,coverage_min,coverage_max,valid_loss,learning_rate
1,0.12209280670111906,0.7902569881841723,29,205,0,3.0,1,4,0.047187907724744745,0.00018660254037844388
2,0.04850341279244592,0.8097519350392047,29,205,0,3.0,1,4,0.044148413774867855,0.00015000000000000001
3,0.04241627140353758,0.8137074645301541,29,205,0,3.0,1,4,0.04120122268795967,0.0001
4,0.03931306225928009,0.8121406411383487,29,205,0,3.0,1,4,0.0424449456234773,5.000000000000002e-05
5,0.03749639437870776,0.8078446053802275,29,205,0,3.0,1,4,0.04108540444738335,1.339745962155613e-05
6,0.03515345975756645,0.8222946825125382,29,205,0,3.0,1,4,0.04086528563251098,0.0
