epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,coverage_mean,coverage_min,coverage_max,valid_loss,learning_rate
1,0.11930209813071481,0.7694400463587634,35,199,0,3.0,1,4,0.05090202587760157,0.00018660254037844388
2,0.048271363244411794,0.791088479213853,35,199,0,3.0,1,4,0.04558967695468002,0.00015000000000000001
3,0.04274612258300713,0.7961479658197556,35,199,0,3.0,1,4,0.0459008247901996,0.0001
4,0.040693727103953664,0.7865418351771262,35,199,0,3.0,1,4,0.04410331923928526,5.000000000000002e-05
5,0.0383962463349738,0.8094790078756339,35,199,0,3.0,1,4,0.042924019818504654,1.339745962155613e-05
6,0.036179032784404486,0.7797011798763266,35,199,0,3.0,1,4,0.04428406794452005,0.0
