epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,valid_loss,learning_rate
1,0.011991969425163061,0.8642596646088712,29,205,0,0.04568988193447391,0.0002799038105676658
2,0.01097405104572182,0.8674749512792228,29,205,0,0.04413866725129386,0.000225
3,0.010472185354932561,0.8768579395204124,29,205,0,0.04577301318446795,0.00015
4,0.010032899349977229,0.8553580775091476,29,205,0,0.04861740434231857,7.500000000000002e-05
5,0.009679135194481492,0.8641648049673687,29,205,0,0.04453261119003097,2.009618943233419e-05
6,0.009415893668774681,0.8620390939380759,29,205,0,0.04716726508922875,0.0
