epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,target_soundscape_macro_auc,target_soundscape_scored_classes,target_soundscape_skipped_no_positive,target_soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.3584727489567818,0.61498559483164,50,13,0,0.5381689751125682,25,38,0,0.0685328591395827,0.00021124278016267477,0.5381689751125682
2,0.0598488560223833,0.8013687488309842,50,13,0,0.657570916908473,25,38,0,0.05028132491690271,0.00039999308874808025,0.657570916908473
3,0.04989025147354349,0.8812759258925437,50,13,0,0.7824365493228688,25,38,0,0.04435582475408035,0.00038428867756193293,0.7824365493228688
4,0.04457157465847249,0.8952053249885961,50,13,0,0.7901539623808561,25,38,0,0.042013655526234824,0.0003408324676679583,0.7901539623808561
5,0.03879147387565451,0.9025761025969514,50,13,0,0.7843828486875185,25,38,0,0.040961415424723834,0.0002762402730909904,0.7843828486875185
6,0.039314698546807816,0.9129364429494103,50,13,0,0.8020419590567842,25,38,0,0.040008645970374346,0.00020034566992567065,0.8020419590567842
7,0.03441793164436487,0.916313693136683,50,13,0,0.8059920344793372,25,38,0,0.03860195320756996,0.00012470292351762804,0.8059920344793372
8,0.03482785503915016,0.9235616254997389,50,13,0,0.8222440878555126,25,38,0,0.037765622385503614,6.082795630428346e-05,0.8222440878555126
9,0.03656709281370995,0.9233440589621097,50,13,0,0.8220409432308514,25,38,0,0.037984598647145665,1.8445153015848802e-05,0.8220409432308514
10,0.03610569969850018,0.9231258036603808,50,13,0,0.8254269504227473,25,38,0,0.03760860222117866,4.006911251919789e-06,0.8254269504227473
