epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,valid_loss,learning_rate
1,0.09253682346404099,0.7174993516840448,35,199,0,0.05352861310044924,0.0002799038105676658
2,0.04368880327884891,0.761174296144635,35,199,0,0.048044753105690084,0.000225
3,0.038706584907129034,0.7616327154488143,35,199,0,0.04799594605962435,0.00015
4,0.03499966183630358,0.7657932273824813,35,199,0,0.04655735303337375,7.500000000000002e-05
5,0.0327565939987407,0.7713184184984972,35,199,0,0.04595760100831588,2.009618943233419e-05
6,0.03263288670916016,0.7724515414070539,35,199,0,0.045906429489453636,0.0
