variant,Amphibia,Aves,Insecta,Mammalia,Reptilia
delta010_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
delta015_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
delta025_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
manifest_baseline,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
no_delta_smooth,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
no_file_scale_closed_public_negative,0.9975320248898742,0.9791881800460749,0.999298245614035,0.9827586206896551,1.0
no_rank_aware_closed_public_negative,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
no_thresholds,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
rank035_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
rank045_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
rank050_manifest,0.9973001102616749,0.9825939742250087,0.9989473684210526,0.9827586206896551,1.0
topk1_manifest,0.9975320248898742,0.9791881800460749,0.999298245614035,0.9827586206896551,1.0
topk3_manifest,0.9971470125853573,0.9825050853361199,0.9989473684210526,0.9770114942528735,1.0
