epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,valid_loss,learning_rate
1,0.0937208451142832,0.6866498049120128,29,205,0,0.057466172923644386,0.0002799038105676658
2,0.044382857049212736,0.7584034099716522,29,205,0,0.05095121171325445,0.000225
3,0.038231117675910475,0.7688417386245253,29,205,0,0.06605372127766411,0.00015
4,0.0353442329694243,0.7796052180251812,29,205,0,0.052612808688233294,7.500000000000002e-05
5,0.03303431479745552,0.7781858319018735,29,205,0,0.06055064204459389,2.009618943233419e-05
6,0.033157550505980724,0.7724041123561312,29,205,0,0.056243091744060315,0.0
