epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.011160296905931988,0.9690605969088387,224,10,0,0.8287897172072108,47,187,0,0.011908743939309532,0.000288581929876693,0.8287897172072108
2,0.009896885430736779,0.9684804548214082,224,10,0,0.7791966889563543,47,187,0,0.012630256314594034,0.0002560660171779821,0.7791966889563543
3,0.008754886511706335,0.9529428119756858,224,10,0,0.783863977763058,47,187,0,0.019877582050377724,0.00020740251485476348,0.783863977763058
4,0.007647851261904013,0.9655584692501462,224,10,0,0.8277849081671058,47,187,0,0.013647446155979846,0.00015,0.8277849081671058
5,0.006481787172591639,0.9690715617743415,224,10,0,0.8142147743622483,47,187,0,0.012708244816322363,9.259748514523653e-05,0.8142147743622483
6,0.005666021461523276,0.9707828627911204,224,10,0,0.8300901175529752,47,187,0,0.013039720889875048,4.3933982822017876e-05,0.8300901175529752
7,0.005124546813878454,0.9700042075729821,224,10,0,0.8246982173175322,47,187,0,0.013151844972167677,1.1418070123306989e-05,0.8246982173175322
8,0.004653709589791042,0.9700189802032188,224,10,0,0.8225079288642129,47,187,0,0.013487372660598358,0.0,0.8225079288642129
