epoch,train_loss,train_supervised_loss,train_distill_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,distill_weight,mean_train_teacher_confidence
1,0.4225297434763475,0.10511383301380908,1.2696636445594556,0.875264657224232,42,192,0,0.875264657224232,42,192,0,0.3110620429118474,0.00010631971954266869,0.875264657224232,0.25,0.9730278849601746
2,0.2650657698060527,0.0911294546994296,0.6957452604264924,0.9291849082967593,42,192,0,0.9291849082967593,42,192,0,0.265260045727094,0.00019998753863971366,0.9291849082967593,0.25,0.9730278849601746
3,0.24152360404982712,0.07506078030123856,0.6658512949943542,0.9474645416535284,42,192,0,0.9474645416535284,42,192,0,0.26002682993809384,0.00018594035791026273,0.9474645416535284,0.25,0.9730278849601746
4,0.23267324268817902,0.06808962108510913,0.6583344846060781,0.9505044431095707,42,192,0,0.9505044431095707,42,192,0,0.2578599378466606,0.00014913347687394642,0.9505044431095707,0.25,0.9730278849601746
5,0.2289656689672759,0.06573478256662686,0.6529235496665492,0.953361136747176,42,192,0,0.953361136747176,42,192,0,0.25799477472901344,9.942926958035401e-05,0.953361136747176,0.25,0.9730278849601746
6,0.22640908261140189,0.06388279626315291,0.6501051476507476,0.9537899808064407,42,192,0,0.9537899808064407,42,192,0,0.2573722501595815,5.01459382342328e-05,0.9537899808064407,0.25,0.9730278849601746
7,0.22462734218799707,0.06114184766104727,0.6539419763015978,0.9537543012475608,42,192,0,0.9537543012475608,42,192,0,0.25784188012282055,1.4488911670091291e-05,0.9537543012475608,0.25,0.9730278849601746
8,0.22435547321131735,0.06263101575049487,0.6468978343587933,0.9551714132471109,42,192,0,0.9551714132471109,42,192,0,0.25749095529317856,2.012461360286368e-06,0.9551714132471109,0.25,0.9730278849601746
