epoch,train_loss,train_supervised_loss,train_distill_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,distill_weight,mean_train_teacher_confidence
1,0.42148602640990057,0.08636098558252508,1.340500163309502,0.9377439226299954,43,191,0,0.9377439226299954,43,191,0,0.31121133945204993,0.00010631971954266869,0.9377439226299954,0.25,0.9708983302116394
2,0.26603267725669977,0.08352317254651677,0.7300380233562354,0.9506103674132226,43,191,0,0.9506103674132226,43,191,0,0.24972011148929596,0.00019998753863971366,0.9506103674132226,0.25,0.9708983302116394
3,0.24289994980349686,0.07332145309809482,0.6783139868216082,0.9614259951443664,43,191,0,0.9614259951443664,43,191,0,0.24370435151186856,0.00018594035791026273,0.9614259951443664,0.25,0.9708983302116394
4,0.23542178083549847,0.06859263258449959,0.6673165902946935,0.9603755059809173,43,191,0,0.9603755059809173,43,191,0,0.24248585240407425,0.00014913347687394642,0.9603755059809173,0.25,0.9708983302116394
5,0.23141561629194202,0.06606543380202669,0.661400733572064,0.9616368150959717,43,191,0,0.9616368150959717,43,191,0,0.24234098196029663,9.942926958035401e-05,0.9616368150959717,0.25,0.9708983302116394
6,0.22966632156661063,0.06428152751741988,0.6615391770998637,0.9594810015690429,43,191,0,0.9594810015690429,43,191,0,0.2429910356348211,5.01459382342328e-05,0.9594810015690429,0.25,0.9708983302116394
7,0.22790364288922513,0.063843375128327,0.6562410791714987,0.9599840822428702,43,191,0,0.9599840822428702,43,191,0,0.24337474595416675,1.4488911670091291e-05,0.9599840822428702,0.25,0.9708983302116394
8,0.22804258041309589,0.06346244184356747,0.6583205551812144,0.959562551965542,43,191,0,0.959562551965542,43,191,0,0.24346877769990402,2.012461360286368e-06,0.959562551965542,0.25,0.9708983302116394
