variant,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative
event_texture_priors_smooth,0.8156599403232923,29,205,0
event_texture_priors,0.8151323943347549,29,205,0
texture_priors_only,0.8059336863901201,29,205,0
event_priors_only,0.7888039259698162,29,205,0
raw,0.7796052180251812,29,205,0
