primary_label,positives,negatives,raw_auc,baseline_auc,probe_auc,baseline_delta_vs_raw,probe_delta_vs_base
orwpar,13,695,0.9653569452130604,0.9925843940232429,0.998671831765357,0.027227448810182575,0.006087437742114066
osprey,0,708,,,,,
pabspi1,0,708,,,,,
palhor3,0,708,,,,,
paltan1,0,708,,,,,
phecuc1,0,708,,,,,
picpig2,0,708,,,,,
pirfly1,0,708,,,,,
plasla1,0,708,,,,,
platyr1,0,708,,,,,
plcjay1,0,708,,,,,
pluibi1,0,708,,,,,
purjay1,5,703,0.8273115220483642,0.9456614509246088,0.9456614509246088,0.11834992887624463,0.0
pvttyr1,0,708,,,,,
ragmac1,0,708,,,,,
rebscy1,0,708,,,,,
recfin1,0,708,,,,,
redjun,12,696,0.4880268199233716,0.6096743295019157,0.7789750957854404,0.12164750957854409,0.16930076628352475
relser1,0,708,,,,,
rinkin1,0,708,,,,,
rivwar1,0,708,,,,,
roahaw,0,708,,,,,
rubthr1,0,708,,,,,
rufcac2,0,708,,,,,
rufcas2,0,708,,,,,
rufgna3,0,708,,,,,
rufhor2,4,704,0.9055397727272727,0.8909801136363638,0.8909801136363638,-0.01455965909090895,0.0
rufnig1,0,708,,,,,
ruftho1,0,708,,,,,
ruftof1,0,708,,,,,
rumfly1,0,708,,,,,
ruther1,1,707,1.0,1.0,1.0,0.0,0.0
rutjac1,1,707,0.9519094766619519,0.900990099009901,0.900990099009901,-0.0509193776520509,0.0
sabspa1,0,708,,,,,
saffin,0,708,,,,,
saytan1,0,708,,,,,
scadov1,0,708,,,,,
schpar1,0,708,,,,,
scther1,0,708,,,,,
shcfly1,0,708,,,,,
shshaw,0,708,,,,,
shtnig1,0,708,,,,,
sibtan2,1,707,1.0,1.0,1.0,0.0,0.0
smbani,0,708,,,,,
smbtin1,0,708,,,,,
sobcac1,0,708,,,,,
sobtyr1,0,708,,,,,
socfly1,0,708,,,,,
sofspi1,0,708,,,,,
souant1,0,708,,,,,
soulap1,0,708,,,,,
souscr1,0,708,,,,,
spbant3,0,708,,,,,
spispi1,0,708,,,,,
sptnig1,0,708,,,,,
squcuc1,0,708,,,,,
stbwoo2,0,708,,,,,
strcuc1,0,708,,,,,
strher2,2,706,0.5269121813031161,0.36968838526912184,0.36968838526912184,-0.15722379603399428,0.0
strowl1,0,708,,,,,
swthum1,0,708,,,,,
swtman1,0,708,,,,,
tattin1,0,708,,,,,
thlwre1,0,708,,,,,
toctou1,0,708,,,,,
trokin,0,708,,,,,
trsowl,26,682,0.6391833972479134,0.7236634333408527,0.9610872997969773,0.0844800360929393,0.23742386645612457
undtin1,43,665,0.8498338870431894,0.8865186221367372,0.9071515999300577,0.03668473509354775,0.020632977793320517
varant1,0,708,,,,,
watjac1,0,708,,,,,
wesfie1,0,708,,,,,
wfwduc1,1,707,1.0,1.0,1.0,0.0,0.0
whbant2,0,708,,,,,
whbwar2,0,708,,,,,
whiwoo1,0,708,,,,,
whlspi1,0,708,,,,,
whnjay1,0,708,,,,,
whtdov,63,645,0.9756121570075058,0.9963578196136336,0.9979820351913375,0.020745662606127757,0.0016242155777039802
whwpic1,0,708,,,,,
y00678,0,708,,,,,
yebcar,0,708,,,,,
yebela1,0,708,,,,,
yecmac,0,708,,,,,
yecpar,0,708,,,,,
yehcar1,0,708,,,,,
yeofly1,0,708,,,,,
