variant,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative
event_texture_priors_smooth,0.7108902338496021,54,180,0
event_texture_priors,0.7086159052315438,54,180,0
texture_priors_only,0.7012548425137953,54,180,0
event_priors_only,0.6672175106069261,54,180,0
raw,0.6646442720135262,54,180,0
