epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,valid_loss,learning_rate
1,0.012528205640151748,0.8615633520853468,35,199,0,0.04731363710016012,0.0002799038105676658
2,0.011594363802937237,0.8628014673938653,35,199,0,0.04701398763184746,0.000225
3,0.01106847442506131,0.8848806193416292,35,199,0,0.045211129200955234,0.00015
4,0.010602108650781612,0.8740648242976635,35,199,0,0.04775139937798182,7.500000000000002e-05
5,0.01029117278795947,0.8622073278596364,35,199,0,0.04873546321565906,2.009618943233419e-05
6,0.01009709359073544,0.8699915143512429,35,199,0,0.047146292946611844,0.0
