epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,target_soundscape_macro_auc,target_soundscape_scored_classes,target_soundscape_skipped_no_positive,target_soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.43493438900812814,0.6807642283840475,53,10,0,0.6394857582569161,27,36,0,0.07437989006147665,0.0002113140430538346,0.6394857582569161
2,0.05807307994236117,0.8455028285337497,53,10,0,0.743723341873497,27,36,0,0.04615246058058213,0.00039999278499452403,0.743723341873497
3,0.04922367668832126,0.8842461748441536,53,10,0,0.7777498203928895,27,36,0,0.040620271061711455,0.00038427463454991184,0.7777498203928895
4,0.04165163972293553,0.9058138874984868,53,10,0,0.7756652522959223,27,36,0,0.03872739829068236,0.0003408068233187524,0.7756652522959223
5,0.03827181592097749,0.9133735839461492,53,10,0,0.7846313504788095,27,36,0,0.036941919941455126,0.0002762069315242996,0.7846313504788095
6,0.03646437981692345,0.9153027442741485,53,10,0,0.7919436367962222,27,36,0,0.036203003611744326,0.00020030970709278167,0.7919436367962222
7,0.03500259120989105,0.9168118877596768,53,10,0,0.7992033946634274,27,36,0,0.035032294991919226,0.0001246698144338443,0.7992033946634274
8,0.02887398520808505,0.9190648033262214,53,10,0,0.7937172841578728,27,36,0,0.034632224480018896,6.080274152747637e-05,0.7937172841578728
9,0.0343478810771004,0.9197827033567805,53,10,0,0.8055944146632791,27,36,0,0.03480878099799156,1.8431671267214787e-05,0.8055944146632791
10,0.031788549163257296,0.9201075903057299,53,10,0,0.8051731281008359,27,36,0,0.03483316863832228,4.007215005475993e-06,0.8051731281008359
