epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.013709484368516087,0.9566609222173601,217,17,0,0.815386930462755,37,197,0,0.01350575885340545,0.000288581929876693,0.815386930462755
2,0.011738569051515206,0.9571028100993636,217,17,0,0.7911026323435382,37,197,0,0.013488537088340328,0.0002560660171779821,0.7911026323435382
3,0.010280686741023481,0.961726974505694,217,17,0,0.8142376210357322,37,197,0,0.012974861758356328,0.00020740251485476348,0.8142376210357322
4,0.008769418754712351,0.9510580133995425,217,17,0,0.8055830933375854,37,197,0,0.0157363693927729,0.00015,0.8055830933375854
5,0.007496423816167939,0.9607865382270194,217,17,0,0.8054339611131102,37,197,0,0.014519583606702632,9.259748514523653e-05,0.8054339611131102
6,0.006573645400215118,0.9608476458278586,217,17,0,0.807862687364279,37,197,0,0.013970001268302595,4.3933982822017876e-05,0.807862687364279
7,0.00588809260121251,0.9607867882628999,217,17,0,0.8091859090878442,37,197,0,0.014026990294038538,1.1418070123306989e-05,0.8091859090878442
8,0.005305466835485722,0.9612246634752696,217,17,0,0.8071841225671256,37,197,0,0.014016903825358253,0.0,0.8071841225671256
