epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,train_loader_mode,pseudo_rows_used,pseudo_keep_ratio,pseudo_weight_scale,pseudo_progress
1,0.011596599524613265,0.9702049724019333,220,14,0,0.8514555341003908,46,188,0,0.01065101594817669,0.0001923879532511287,0.8514555341003908,labeled_only,0,0.0,0.0,0.0
2,0.010510584348746452,0.9714980177882296,220,14,0,0.8507312467790835,46,188,0,0.010740953282794168,0.00017071067811865476,0.8507312467790835,labeled_only,0,0.0,0.0,0.0
3,0.00954463438376029,0.9664659478726352,220,14,0,0.8448927442687824,46,188,0,0.010926604924387786,0.000138268343236509,0.8448927442687824,labeled_only,0,0.0,0.0,0.0
4,0.008292898821541715,0.9655825053957836,220,14,0,0.8380774058152113,46,188,0,0.011399266427834962,0.0001,0.8380774058152113,labeled_plus_pseudo_curriculum,979,0.2,0.2,0.0
5,0.007391790226623517,0.9676374241680109,220,14,0,0.8407474821310283,46,188,0,0.011435057385619665,6.173165676349103e-05,0.8407474821310283,labeled_plus_pseudo_curriculum,2285,0.4666666666666667,0.4666666666666667,0.3333333333333333
6,0.006798190470537946,0.9675891269149522,220,14,0,0.8384251197232776,46,188,0,0.011431541141576764,2.9289321881345254e-05,0.8384251197232776,labeled_plus_pseudo_curriculum,3590,0.7333333333333334,0.7333333333333334,0.6666666666666666
7,0.006368536178811887,0.9668938566087292,220,14,0,0.8433040546924956,46,188,0,0.011192059852963749,7.612046748871327e-06,0.8433040546924956,labeled_plus_pseudo_curriculum,4895,1.0,1.0,1.0
8,0.006214310899383879,0.9668946975526449,220,14,0,0.8426529363931156,46,188,0,0.011334715129507945,0.0,0.8426529363931156,labeled_plus_pseudo_curriculum,4895,1.0,1.0,1.0
