epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,target_soundscape_macro_auc,target_soundscape_scored_classes,target_soundscape_skipped_no_positive,target_soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.4432989146481169,0.7110445596773023,47,16,0,0.6366978751514887,33,30,0,0.07809648895636201,0.00021124278016267477,0.6366978751514887
2,0.0535893042750181,0.8698040813650725,47,16,0,0.7427439747899269,33,30,0,0.048978572071064264,0.00039999308874808025,0.7427439747899269
3,0.042866904526314836,0.9074157518574294,47,16,0,0.7901554530813811,33,30,0,0.04512577995774336,0.00038428867756193293,0.7901554530813811
4,0.03737320830213263,0.9128463262319684,47,16,0,0.7844631192390883,33,30,0,0.043774053163360804,0.0003408324676679583,0.7844631192390883
5,0.0361608707128053,0.9202131057498335,47,16,0,0.7963754930364195,33,30,0,0.04243282100651413,0.0002762402730909904,0.7963754930364195
6,0.034260295252216626,0.9109966113278108,47,16,0,0.7896503834281451,33,30,0,0.04328147182241082,0.00020034566992567065,0.7896503834281451
7,0.030791578774756575,0.913807071213344,47,16,0,0.7914579187454593,33,30,0,0.043124727584654465,0.00012470292351762804,0.7914579187454593
8,0.029563698778919716,0.9179646583467719,47,16,0,0.7972201884693042,33,30,0,0.04390072467504069,6.082795630428346e-05,0.7972201884693042
9,0.025055730220009672,0.9202560507084884,47,16,0,0.7980962234443635,33,30,0,0.043025367020163685,1.8445153015848802e-05,0.7980962234443635
10,0.030776068726752665,0.9218460332390949,47,16,0,0.8003944220511184,33,30,0,0.04287273110821843,4.006911251919789e-06,0.8003944220511184
