epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,train_loader_mode
1,0.011596599524613265,0.9702049724019333,220,14,0,0.8514555341003908,46,188,0,0.01065101594817669,0.00018660254037844388,0.8514555341003908,labeled_only
2,0.009788064219464576,0.9685773530443609,220,14,0,0.8458142266039611,46,188,0,0.01130928313007093,0.00015000000000000001,0.8458142266039611,labeled_plus_pseudo
3,0.00877305363235753,0.9669749392959005,220,14,0,0.8425882327900406,46,188,0,0.011331231035795317,0.0001,0.8425882327900406,labeled_plus_pseudo
4,0.00804947527631093,0.9678412700264613,220,14,0,0.8431646049121847,46,188,0,0.011071742763408726,5.000000000000002e-05,0.8431646049121847,labeled_plus_pseudo
5,0.0072623102640842,0.9687234077738492,220,14,0,0.8312914632344031,46,188,0,0.011264764859013565,1.339745962155613e-05,0.8312914632344031,labeled_plus_pseudo
6,0.006783734514107914,0.9695284802193826,220,14,0,0.8350097441324316,46,188,0,0.011093072854608591,0.0,0.8350097441324316,labeled_plus_pseudo
