epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,train_loader_mode
1,0.011596599524613265,0.9702049724019333,220,14,0,0.8514555341003908,46,188,0,0.01065101594817669,0.00018660254037844388,0.8514555341003908,labeled_only
2,0.009634359879127257,0.9696416653872162,220,14,0,0.8481773435094491,46,188,0,0.011094887157501227,0.00015000000000000001,0.8481773435094491,labeled_plus_pseudo
3,0.008755581511572033,0.9685013828110626,220,14,0,0.8422510623983449,46,188,0,0.01124057174917691,0.0001,0.8422510623983449,labeled_plus_pseudo
4,0.007876187706311127,0.9700172610558913,220,14,0,0.8682576606486684,46,188,0,0.011049699157141936,5.000000000000002e-05,0.8682576606486684,labeled_plus_pseudo
5,0.007180973866850595,0.9690951796928144,220,14,0,0.8547484644313874,46,188,0,0.011019551697142855,1.339745962155613e-05,0.8547484644313874,labeled_plus_pseudo
6,0.006718662546426675,0.970190253084888,220,14,0,0.8581700195298453,46,188,0,0.01109556942932434,0.0,0.8581700195298453,labeled_plus_pseudo
