epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.06279607050570378,0.6636513974191806,224,10,0,0.4548359547921331,52,182,0,0.029322352825089337,0.00014006440100204176,0.4548359547921331
2,0.0245511049674138,0.9080998237504451,224,10,0,0.740245413475979,52,182,0,0.020206879268331018,0.0003801287674416747,0.740245413475979
3,0.01880025826212756,0.9355775381607793,224,10,0,0.8169639898121196,52,182,0,0.01728383695367387,0.0004999999881283223,0.8169639898121196
4,0.021668130646772955,0.9497762152979842,224,10,0,0.8028816712229537,52,182,0,0.01522492139322802,0.0004850476938386575,0.8028816712229537
5,0.020563216490742105,0.9494758150028312,224,10,0,0.8343879048168683,52,182,0,0.014510562915250937,0.000442046715633612,0.8343879048168683
6,0.019620418999783742,0.9537665000659976,224,10,0,0.832424210030444,52,182,0,0.013675692559348697,0.00037618360611156273,0.832424210030444
7,0.018728255908258638,0.9573378050070952,224,10,0,0.8467221783538442,52,182,0,0.012968275617396935,0.00029540242831684087,0.8467221783538442
8,0.017843479008811336,0.9611654556120983,224,10,0,0.8437328027552932,52,182,0,0.012330892253691885,0.00020944658449470078,0.8437328027552932
9,0.017094683957376254,0.962250158916215,224,10,0,0.8543629180567511,52,182,0,0.011805959138152328,0.00012868361798324047,0.8543629180567511
10,0.01638783387899293,0.9635769629784647,224,10,0,0.8431374730095054,52,182,0,0.011461706373820756,6.28547344781834e-05,0.8431374730095054
11,0.016023736874330806,0.9643666262118311,224,10,0,0.8445057670547714,52,182,0,0.011341870759930858,1.9899868861088766e-05,0.8445057670547714
12,0.01572355226644157,0.9646221610155263,224,10,0,0.8487715972569201,52,182,0,0.011295047023908255,5.000011871677726e-06,0.8487715972569201
