epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,coverage_mean,coverage_min,coverage_max,valid_loss,learning_rate
1,0.11709825752686101,0.7884600067950448,29,205,0,3.0,1,4,0.054202995573480926,0.00018660254037844388
2,0.0482028630159214,0.8002896930575384,29,205,0,3.0,1,4,0.050520339928981334,0.00015000000000000001
3,0.04172906831752324,0.8217931036247866,29,205,0,3.0,1,4,0.06865514447498652,0.0001
4,0.03813172345782848,0.8143435703551107,29,205,0,3.0,1,4,0.07360464707016945,5.000000000000002e-05
5,0.036175258061353195,0.827425636993899,29,205,0,3.0,1,4,0.056234811484399766,1.339745962155613e-05
6,0.03388568346804761,0.8377433031098451,29,205,0,3.0,1,4,0.05114627779564924,0.0
