epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.06281071911742961,0.6578573808738847,217,17,0,0.4938994608092305,37,197,0,0.02944663670951555,0.00014006445821859297,0.4938994608092305
2,0.024725058506413315,0.9017572044877605,217,17,0,0.7191983097942628,37,197,0,0.01952897318804375,0.00038012888181333647,0.7191983097942628
3,0.018922702539182844,0.9306850204924277,217,17,0,0.7380563474446993,37,197,0,0.016676966107724636,0.0004999999881072265,0.7380563474446993
4,0.02181661748583718,0.9406223786853021,217,17,0,0.804233892501998,37,197,0,0.015279841223924324,0.00048504767053406545,0.804233892501998
5,0.02062301718270932,0.9411455386243931,217,17,0,0.7279907991563992,37,197,0,0.014342046668258958,0.00044204667185640143,0.7279907991563992
6,0.019590238175399562,0.9489775636996082,217,17,0,0.7630072046019052,37,197,0,0.01329494194147382,0.0003761835471419114,0.7630072046019052
7,0.018753954845432647,0.9511393609624897,217,17,0,0.7519438651854775,37,197,0,0.012584070255732861,0.0002954023612673589,0.7519438651854775
8,0.01792357487564321,0.9574090876489898,217,17,0,0.7702618538969048,37,197,0,0.01205316481096497,0.0002094465174525454,0.7702618538969048
9,0.017062393327278366,0.9601969927435074,217,17,0,0.7963678315038987,37,197,0,0.011469490470708069,0.000128683559034685,0.7963678315038987
10,0.01651567227552855,0.9606270485092699,217,17,0,0.7969254989912881,37,197,0,0.011144664901894188,6.28546907332935e-05,0.7969254989912881
11,0.01599959134360772,0.9606801998521183,217,17,0,0.7986165687406863,37,197,0,0.011029852079276974,1.9899845596143915e-05,0.7986165687406863
12,0.015666981553989687,0.9610370026812496,217,17,0,0.7913850441248567,37,197,0,0.01096416364018793,5.000011892773564e-06,0.7913850441248567
