epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.011035236356065908,0.9628724742568978,208,26,0,0.750206650100525,40,194,0,0.013146978161863184,0.000288581929876693,0.750206650100525
2,0.009929130239931394,0.9609252159102487,208,26,0,0.7637775772740831,40,194,0,0.012367949024753347,0.0002560660171779821,0.7637775772740831
3,0.008632807838440159,0.9598238849941528,208,26,0,0.7702235930754797,40,194,0,0.012904981966026493,0.00020740251485476348,0.7702235930754797
4,0.007402598081998642,0.9593974742796463,208,26,0,0.7637997000137006,40,194,0,0.013377242487383359,0.00015,0.7637997000137006
5,0.006486269845636615,0.9619694302220583,208,26,0,0.7641757615921538,40,194,0,0.013300898547303014,9.259748514523653e-05,0.7641757615921538
6,0.005662597787662956,0.9618425383377152,208,26,0,0.7294490906424577,40,194,0,0.013840122014179152,4.3933982822017876e-05,0.7294490906424577
7,0.004935485486841429,0.9661132491858939,208,26,0,0.7541122780005571,40,194,0,0.013201925804189938,1.1418070123306989e-05,0.7541122780005571
8,0.004694443747030957,0.966097202442945,208,26,0,0.760823009884516,40,194,0,0.013497053021715796,0.0,0.760823009884516
