primary_label,auc_all,positive_rows_all,negative_rows_all,scored,mean_prob_all,auc_soundscape,positive_rows_soundscape,negative_rows_soundscape,mean_prob_soundscape,scored_soundscape,scientific_name,class_name,is_texture_taxon,auc_gap_sound_minus_all
23158,0.978663925732916,53,36025,True,0.001973300939425826,0.8123432197137377,27,502,0.06127427890896797,True,Physalaemus albonotatus,Amphibia,True,-0.16632070601917837
undtin1,0.9144588933514659,547,35531,True,0.016864703968167305,0.8247241379310345,29,500,0.06280532479286194,True,Crypturellus undulatus,Aves,False,-0.08973475542043141
66971,0.992338918479065,30,36048,True,0.0005489304894581437,0.8276984126984126,25,504,0.028388595208525658,True,Pseudis platensis,Amphibia,True,-0.16464050578065237
47158son01,0.9843039693979379,2,36076,True,6.109043897595257e-05,0.8505692599620494,2,527,0.0010971599258482456,True,Insect son01,Insecta,True,-0.1337347094358885
25092,0.9836111256177091,34,36044,True,0.0009425983880646527,0.8505725190839695,5,524,0.008785458281636238,True,Elachistocleis bicolor,Amphibia,True,-0.13303860653373967
47158son25,0.9920414896018567,7,36071,True,8.653650002088398e-05,0.8564586754241926,7,522,0.002843246329575777,True,Insect son25,Insecta,True,-0.13558281417766405
magant1,0.9874870014245014,78,36000,True,0.0024812992196530104,0.8577313054499366,3,526,0.004124966450035572,True,Cercomacra melanaria,Aves,False,-0.12975569597456482
47158son05,0.9897854529326977,2,36076,True,2.4464528905809857e-05,0.8643263757115749,2,527,0.00020334342843852937,True,Insect son05,Insecta,True,-0.12545907722112282
compau,0.9835477982982209,569,35509,True,0.01348180416971445,0.874078624078624,11,518,0.01186093594878912,True,Nyctidromus albicollis,Aves,False,-0.1094691742195969
rutjac1,0.9279282231490973,342,35736,True,0.010536355897784233,0.8778409090909091,1,528,0.002982711186632514,True,Galbula ruficauda,Aves,False,-0.050087314058188226
47158son18,0.9689414308285056,1,36077,True,2.9524435376515612e-05,0.8797348484848485,1,528,0.0009891537483781576,True,Insect son18,Insecta,True,-0.08920658234365708
thlwre1,0.9027816606094494,308,35770,True,0.010446181520819664,0.884469696969697,1,528,0.00432388624176383,True,Campylorhynchus turdinus,Aves,False,-0.018311963639752404
hyamac1,0.9766828985292575,72,36006,True,0.002057967009022832,0.8863636363636365,1,528,0.0030765135306864977,True,Anodorhynchus hyacinthinus,Aves,False,-0.09031926216562103
whtdov,0.9039322254025718,968,35110,True,0.030842330306768417,0.9032994032994034,11,518,0.03164607286453247,True,Leptotila verreauxi,Aves,False,-0.0006328221031683956
116570,0.9906272921355961,11,36067,True,0.00018526794156059623,0.9078034682080924,10,519,0.0059968032874166965,True,Caiman yacare,Reptilia,False,-0.08282382392750365
