class_name,classes,mean_soundscape_auc,median_soundscape_auc,mean_gap_sound_minus_all,total_positive_rows
Amphibia,17,0.6721399085178268,0.7137274549098197,-0.30015383240885724,299
Insecta,25,0.7554641694367433,0.793702290076336,-0.18475131286361843,68
Mammalia,4,0.7809973341963723,0.8655909969534945,-0.15498910966454235,16
Aves,28,0.8123761454085878,0.8854166666666667,-0.1285614640819414,136
Reptilia,1,0.9078034682080924,0.9078034682080924,-0.08282382392750365,10
