epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,target_soundscape_macro_auc,target_soundscape_scored_classes,target_soundscape_skipped_no_positive,target_soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.42736092939351994,0.6751269941469549,41,22,0,0.6599173218751325,18,45,0,0.07088545809189478,0.00021117451739514084,0.6599173218751325
2,0.058612303575500846,0.87770113590884,41,22,0,0.7879647329091183,18,45,0,0.04451324199326336,0.0003999933737156454,0.7879647329091183
3,0.048343459221844874,0.9301638601595933,41,22,0,0.7855445448585328,18,45,0,0.040193530886123575,0.00038430212980505304,0.7855445448585328
4,0.04251319860729078,0.9375948260945403,41,22,0,0.7906442563063396,18,45,0,0.037648007677247124,0.0003408570392045632,0.7906442563063396
5,0.03730623567632089,0.9452747159001831,41,22,0,0.7875831102626136,18,45,0,0.035543952921094996,0.00027627222312737355,0.7875831102626136
6,0.03502275325202694,0.9522351618463183,41,22,0,0.7872007301325452,18,45,0,0.03412381327555825,0.0002003801343584205,0.7872007301325452
7,0.03570206577812011,0.9527473336148032,41,22,0,0.791377649399117,18,45,0,0.03414181479408095,0.0001247346554492793,0.791377649399117
8,0.03219948472299924,0.9517883146105037,41,22,0,0.7864408192712814,18,45,0,0.033474442246370015,6.085212483589283e-05,0.7864408192712814
9,0.031190051309143502,0.9526086750409061,41,22,0,0.7868491934682232,18,45,0,0.03352790287851046,1.8458078707567107e-05,0.7868491934682232
10,0.03113607478250439,0.9524073458363143,41,22,0,0.7864298589725585,18,45,0,0.033566590615858635,4.006626284354584e-06,0.7864298589725585
