epoch,train_loss,train_supervised_loss,train_distill_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,distill_weight,mean_train_teacher_confidence
1,0.38407931942492723,0.08546025125542656,1.194476267322898,0.9353677680446222,43,191,0,0.9353677680446222,43,191,0,0.26323832165111194,0.00010518734332768285,0.9353677680446222,0.25,0.9709991729201902
2,0.2501265916507691,0.07944911916274577,0.6827098848298192,0.9583464604366853,43,191,0,0.9583464604366853,43,191,0,0.24422250823541122,0.0001999966868578227,0.9583464604366853,0.25,0.9709991729201902
3,0.23398272600024939,0.06758629844989628,0.6655857097357512,0.9579084718269694,43,191,0,0.9579084718269694,43,191,0,0.24290105294097553,0.00018632867929897269,0.9579084718269694,0.25,0.9709991729201902
4,0.22813911782577634,0.0637299869558774,0.6576365288347006,0.9571899027706832,43,191,0,0.9571899027706832,43,191,0,0.2429090142250061,0.00014979692103074863,0.9571899027706832,0.25,0.9709991729201902
5,0.22512686531990767,0.06153631617780775,0.6543621942400932,0.9552848029166223,43,191,0,0.9552848029166223,43,191,0,0.2447127103805542,0.00010019006717921025,0.9552848029166223,0.25,0.9709991729201902
6,0.2235353016294539,0.06053434783825651,0.6520038116723299,0.9547432077214776,43,191,0,0.9547432077214776,43,191,0,0.24459581754424356,5.0800234172925905e-05,0.9547432077214776,0.25,0.9709991729201902
7,0.22284801490604877,0.059614391590002924,0.652934493497014,0.9542952887968807,43,191,0,0.9542952887968807,43,191,0,0.2456460879607634,1.4861387880237576e-05,0.9542952887968807,0.25,0.9709991729201902
8,0.2224971097894013,0.059744292113464326,0.651011273264885,0.9537380796448367,43,191,0,0.9537380796448367,43,191,0,0.24586287953636862,2.003313142177292e-06,0.9537380796448367,0.25,0.9709991729201902
