epoch,train_loss,train_supervised_loss,train_distill_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric,distill_weight,mean_train_teacher_confidence
1,0.42726803024609883,0.08936123872796695,1.3516271591186524,0.9402777556264108,43,191,0,0.9402777556264108,43,191,0,0.32230768691409717,0.00010655557005802638,0.9402777556264108,0.25,0.9711091647244463
2,0.2711169828971227,0.08563384898006916,0.7419325252374013,0.9514931095531203,43,191,0,0.9514931095531203,43,191,0,0.2510285147211768,0.00019998492182048274,0.9514931095531203,0.25,0.9711091647244463
3,0.24505683531363806,0.07444554095466932,0.6824451764424642,0.9575115569244862,43,191,0,0.9575115569244862,43,191,0,0.2454093410210176,0.00018585956276950913,0.9575115569244862,0.25,0.9711091647244463
4,0.23664733866850535,0.06924066804349423,0.6696266810099284,0.960022859680315,43,191,0,0.960022859680315,43,191,0,0.24344014715064655,0.0001489961524043874,0.960022859680315,0.25,0.9711091647244463
5,0.23313742130994797,0.06731745613118013,0.6632798671722412,0.9592629795201968,43,191,0,0.9592629795201968,43,191,0,0.24321759695356543,9.927221176270894e-05,0.9592629795201968,0.25,0.9711091647244463
6,0.2313780983289083,0.06595924509068331,0.6616754134496053,0.9597503236365728,43,191,0,0.9597503236365728,43,191,0,0.24302380735223944,5.001123058390463e-05,0.9597503236365728,0.25,0.9711091647244463
7,0.2296584169069926,0.06454686696330707,0.6604462007681529,0.95955003564998,43,191,0,0.95955003564998,43,191,0,0.24309418824586002,1.4412648993199822e-05,0.95955003564998,0.25,0.9711091647244463
8,0.22971575061480204,0.06494886726140976,0.6590675354003906,0.9596559747936283,43,191,0,0.9596559747936283,43,191,0,0.24322595650499518,2.015078179517264e-06,0.9596559747936283,0.25,0.9711091647244463
