epoch,train_loss,macro_auc,scored_classes,skipped_no_positive,skipped_no_negative,soundscape_macro_auc,soundscape_scored_classes,soundscape_skipped_no_positive,soundscape_skipped_no_negative,valid_loss,learning_rate,selection_metric
1,0.011377529014251975,0.9634602186410816,220,14,0,0.8472176336300626,46,188,0,0.01239340083774435,0.000288581929876693,0.8472176336300626
2,0.0100429553986252,0.9660572606418395,220,14,0,0.8491012874790641,46,188,0,0.012497300460330428,0.0002560660171779821,0.8491012874790641
3,0.008854971033280352,0.9580251215313617,220,14,0,0.8261050807012494,46,188,0,0.014683380450048683,0.00020740251485476348,0.8261050807012494
4,0.0077217624131308855,0.9640647542993525,220,14,0,0.8534406927276794,46,188,0,0.013017121309530921,0.00015,0.8534406927276794
5,0.006580735399952665,0.9633526028648889,220,14,0,0.8684479825376602,46,188,0,0.013491604653993395,9.259748514523653e-05,0.8684479825376602
6,0.005710933013173014,0.965564050787298,220,14,0,0.8629036968897058,46,188,0,0.013953223287566109,4.3933982822017876e-05,0.8629036968897058
7,0.00503885093800983,0.9644022010719836,220,14,0,0.8602324360668863,46,188,0,0.01381245833683454,1.1418070123306989e-05,0.8602324360668863
8,0.004768024701836062,0.9653174432173635,220,14,0,0.860820491966027,46,188,0,0.01382554784258516,0.0,0.860820491966027
